village_id,facility_nin,facility_name,travel_time_min,distance_km
348_394520.0,7682643544,Akhuapada,9.14,0.76
348_394519.0,7842326642,Nerada,0.0,0.0
348_394584.0,7682643544,Akhuapada,1.53,0.13
348_394522.0,7682643544,Akhuapada,1.53,0.13
348_394521.0,7682643544,Akhuapada,4.53,0.38
348_394527.0,6128887236,Bhandaripokhari,0.0,0.0
348_394538.0,6128887236,Bhandaripokhari,0.0,0.0
348_394506.0,8886137317,Barikpur,1.1,0.09
348_394567.0,6128887236,Bhandaripokhari,0.0,0.0
348_394596.0,6128887236,Bhandaripokhari,0.0,0.0
348_394686.0,6128887236,Bhandaripokhari,0.0,0.0
348_394539.0,6128887236,Bhandaripokhari,0.0,0.0
348_394552.0,6128887236,Bhandaripokhari,0.0,0.0
348_394543.0,6128887236,Bhandaripokhari,0.0,0.0
348_394546.0,6128887236,Bhandaripokhari,0.0,0.0
348_394563.0,6128887236,Bhandaripokhari,0.0,0.0
348_394580.0,6128887236,Bhandaripokhari,0.0,0.0
348_394574.0,6128887236,Bhandaripokhari,0.0,0.0
348_394531.0,6128887236,Bhandaripokhari,0.0,0.0
348_394544.0,6128887236,Bhandaripokhari,0.0,0.0
348_394550.0,8832518768,Manjuri,0.0,0.0
348_394507.0,8886137317,Barikpur,4.83,0.4
348_394510.0,7842326642,Nerada,4.11,0.34
348_394581.0,6128887236,Bhandaripokhari,0.0,0.0
348_394586.0,7682643544,Akhuapada,1.53,0.13
348_394575.0,6128887236,Bhandaripokhari,0.0,0.0
348_394593.0,6128887236,Bhandaripokhari,0.0,0.0
348_394548.0,6128887236,Bhandaripokhari,0.0,0.0
348_394557.0,6128887236,Bhandaripokhari,0.0,0.0
348_394573.0,6128887236,Bhandaripokhari,0.0,0.0
348_394688.0,6128887236,Bhandaripokhari,0.0,0.0
348_394571.0,6128887236,Bhandaripokhari,0.0,0.0
348_394555.0,6128887236,Bhandaripokhari,0.0,0.0
348_394534.0,6128887236,Bhandaripokhari,0.0,0.0
348_394526.0,8886137317,Barikpur,1.12,0.09
348_394595.0,6128887236,Bhandaripokhari,0.0,0.0
348_394685.0,6128887236,Bhandaripokhari,0.0,0.0
